duration_minutes,duration_seasons,type,title,date_added,release_year,rating,description,show_id
106,,Movie,Next Gen,07-09-2018,2018,TV-PG,"When lonely Mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain.",80988892
106,,Movie,Sierra Burgess Is A Loser,07-09-2018,2018,PG-13,A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.,80239639
102,,Movie,The Most Assassinated Woman in the World,07-09-2018,2018,TV-MA,"In 1930s Paris, an actress famous for her gory death scenes at the Grand Guignol Theater contends with a mysterious stalker and ghosts from her past.",80159586
114,,Movie,Cézanne et moi,07-09-2017,2016,R,"This historical drama explores the long and often volatile friendship of painter Paul Cézanne and writer Émile Zola, who first met as schoolboys.",80152447
125,,Movie,Article 15,06-09-2019,2019,TV-MA,The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.,81154455
142,,Movie,Care of Kancharapalem,06-09-2019,2018,TV-14,"From a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small Indian town.",81113928
133,,Movie,Ee Nagaraniki Emaindi,06-09-2019,2018,TV-14,"In Goa and in desperate need of cash, four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true.",81052275
100,,Movie,Kill Me If You Dare,06-09-2019,2019,TV-14,"Bogged down with money problems, a couple grows cautious of each other but hit the lottery and decide to stay together – till death do they part.",81132437
86,,Movie,Hell and Back,06-09-2018,2015,R,"When best friends break a blood oath, one of them is cast away to hell, and the other two must save him from the misfits of the underworld.",80058026
146,,Movie,PK,06-09-2018,2014,TV-14,Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.,70303496
79,,Movie,Hard Tide,06-09-2017,2015,TV-MA,A drug dealer who's been emulating his father's successful criminal career is forced to go on the run with a young girl in this fact-based thriller.,80162141
102,,Movie,Elstree 1976,06-09-2016,2015,TV-PG,"Then and now footage of bit players who appeared in ""Star Wars"" tells the story of how the film and its legions of fans changed their lives forever.",80095641
10,,Movie,American Factory: A Conversation with the Obamas,05-09-2019,2019,TV-G,Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling.,81176188
122,,Movie,ATM,05-09-2018,2012,TV-14,"When a broken ATM dishes out a fortune, a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job.",80159880
126,,Movie,Bangkok Traffic (Love) Story,05-09-2018,2009,TV-14,"After an encounter with an engineer working the night shift for the city train, a 30-year-old woman struggles against all odds to pursue true love.",81016044
116,,Movie,I Fine... Thank You... Love You,05-09-2018,2014,TV-14,"Desperate to go to the U.S. to win back his girlfriend, Yim hires a tutor to teach him English. But things don't go according to plan.",80158838
135,,Movie,One Day,05-09-2018,2016,TV-PG,"When his colleague (and crush) temporarily loses her memory, an overlooked geek seizes the chance to make an impression before she remembers again.",81016045
125,,Movie,Phobia 2,05-09-2018,2009,TV-MA,"From disfiguring punishments to festering souls, Thai horror masters present five supernatural tales of karma in this sequel to the 4bia anthology.",70142798
96,,Movie,Shutter,05-09-2018,2004,TV-MA,"After killing a young girl in a hit-and-run accident, a couple is haunted by more than just the memory of their deadly choice.",70062814
130,,Movie,Suckseed,05-09-2018,2011,TV-MA,"When his boyhood crush Ern returns, Ped forms a band with his friend to impress her. Romantic rivalries bloom after the talented Ern joins the group.",80158839
98,,Movie,Carrie Pilby,05-09-2017,2016,TV-14,"A socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend, get a job and – maybe – even go on a date.",80147760
70,,Movie,Marc Maron: Too Real,05-09-2017,2017,TV-MA,"Battle-scarred stand-up comedian Marc Maron unleashes a storm of ideas about meditation, mortality, documentary films and our weird modern world.",80177405
128,,Movie,Saawan,04-09-2019,2016,TV-14,"Outcast from society and left to die in the wilderness, a young boy with polio embarks on a journey to connect with his mother. Based on a true story.",81160036
88,,Movie,The Heretics,04-09-2019,2017,TV-MA,A withdrawn young woman hunted by a malicious cult is abducted by a brooding stranger and undergoes a bizarre transformation.,81173255
108,,Movie,The World We Make,04-09-2019,2019,PG,"A teenage equestrian and a local football player for each other, but simmering racism in their small town puts their relationship to the test.",81078908
93,,Movie,Watchman,04-09-2019,2019,TV-14,"Rushing to pay off a loan shark, a young man breaks into a bungalow to steal the cash, unprepared for the dog standing guard – or the trouble inside.",81155784
135,,Movie,Black Panther,04-09-2018,2018,PG-13,"T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.",80201906
88,,Movie,Man Up,04-09-2018,2015,R,"A single woman seizes an opportunity when, while standing under a train station clock, she meets a stranger who mistakes her for his blind date.",80052612
64,,Movie,Mo Gilligan: Momentum,30-09-2019,2019,TV-MA,"Comedian Mo Gilligan blends smooth moves and sharp humor as he riffs on humble beginnings, family dynamics and the complex art of dancing in the club.",81054495
107,,Movie,Big Miracle,30-09-2018,2012,PG,"After a reporter writes about whales trapped in the Arctic Circle, the U.S. and U.S.S.R. team up to rescue them in this tale inspired by true events.",70212504
130,,Movie,The Mayor,30-09-2017,2017,TV-MA,"With the presidency in mind, the incumbent mayor of Seoul runs for an unprecedented third term – and will stop at nothing to keep his secrets hidden.",80187061
92,,Movie,Amanda Knox,30-09-2016,2016,TV-MA,She was twice convicted and acquitted of murder. Amanda Knox and the people closest to her case speak out in this illuminating documentary.,80081155
96,,Movie,The Debt Collector,03-09-2018,2018,TV-MA,"A broke martial arts instructor takes a side gig with a mobster, who pairs him with a veteran thug for a weekend of fisticuffs-fueled debt collection.",80198585
112,,Movie,Act of Vengeance,29-09-2018,2010,NR,"Two Turkish agents are sent to New York City on a mission to capture a notorious terrorist known only as ""Dejjal"" (Arabic for Antichrist).",70233894
111,,Movie,Paradise Lost,29-09-2018,2018,TV-MA,"A cop moonlights as the bodyguard for a young drag queen at a nightclub, and grows closer to the family of misfit singers that perform there.",81011955
103,,Movie,Gerald's Game,29-09-2017,2017,TV-MA,"When her husband's sex game goes wrong, Jessie – handcuffed to a bed in a remote lake house – faces warped visions, dark secrets and a dire choice.",80128722
40,,Movie,Long Shot,29-09-2017,2017,TV-14,"When Juan Catalan is arrested for a murder he didn't commit, he builds his case for innocence around raw footage from a popular TV show. A documentary.",80182115
103,,Movie,Our Souls at Night,29-09-2017,2017,TV-14,"After widowed neighbors Addie and Louis begin sleeping in bed together platonically to alleviate their loneliness, a real romance begins to blossom.",80104068
85,,Movie,Out of Thin Air,29-09-2017,2017,TV-14,"Picking up 40 years after six were convicted for two strange murders in Iceland, this chilling documentary proves confessions can’t always be trusted.",80119349
72,,Movie,"Monster High: Boo York, Boo York",29-09-2015,2015,TV-Y7,Cleo is invited to a gala in the big city celebrating a magical comet and brings her best friends along. But the sinister Nefera has other plans.,80019931
45,,Movie,Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,28-09-2019,2019,TV-G,An in-depth look at the full-cycle breeding program for bluefin Kindai tuna pioneered by Kinki University’s Aqua Culture Research Institute.,81053893
89,,Movie,Domino,28-09-2019,2019,R,"A Copenhagen police officer hunts for the man who attacked his partner, only to stumble into a high-stakes game of espionage.",80200087
90,,Movie,TUNA GIRL,28-09-2019,2019,TV-PG,A clumsy but cheerful fisheries student struggles to find her place at a research institute renowned for its tuna cultivation. The work isn't easy.,81053892
126,,Movie,5CM,28-09-2018,2012,TV-14,"Five friends embark on a mission to climb the highest peak in Java, overcoming obstacles on the way and discovering the true meaning of friendship.",81002850
130,,Movie,Animal World,28-09-2018,2018,TV-MA,"An unlucky, debt-ridden teen resorts to his math skills when he's forced into a deadly tournament of rock-paper-scissors run by a diabolical host.",81004470
126,,Movie,Hold the Dark,28-09-2018,2018,TV-MA,"In the grim Alaskan winter, a naturalist hunts for wolves blamed for killing a local boy, but he soon finds himself swept into a chilling mystery.",80157072
24,,Movie,Lessons from a School Shooting: Notes from Dunblane,28-09-2018,2018,TV-PG,"Two priests – one from Dunblane, Scotland, the other from Newtown, Connecticut – bond over school tragedies that occurred 16 years apart.",81001809
127,,Movie,Single,28-09-2018,2015,TV-PG,"Unemployed and immature, a somewhat pathetic bachelor sets his sights on finding a date for the wedding of his younger, more successful brother.",81002864
108,,Movie,The 3rd Eye,28-09-2018,2018,TV-MA,"When her little sister claims she sees the dead, Alia consults a psychic, who opens her own eyes to the vengeful ghosts haunting their childhood home.",81016750
163,,Movie,The Sinking Of Van Der Wijck,28-09-2018,2013,TV-14,"When a young man leaves home to fulfill the wishes of his late father, he meets and falls in love with a woman from a very different background.",81002866
117,,Movie,Two Catalonias,28-09-2018,2018,TV-MA,Lawmakers and activists with conflicting ideologies speak about the complexities of Catalonia's politics and the fight for its independence from Spain.,80992039
106,,Movie,Bobby Sands: 66 Days,28-09-2017,2016,TV-14,"In 1981, an imprisoned Irish Republican Army soldier went on a hunger strike that galvanized his movement and made him a controversial global icon.",80126507
102,,Movie,Deliha 2,27-09-2019,2018,TV-PG,"While chasing her dream of becoming a chef, Zeliha cooks up trouble in the kitchen with her wild, kooky and unsuspecting ways.",81132443
116,,Movie,In the Shadow of the Moon,27-09-2019,2019,TV-MA,A Philadelphia detective slowly unravels as he nurses a lifelong obsession with an enigmatic female serial killer whose crimes defy explanation.,80231903
42,,Movie,Sturgill Simpson Presents Sound & Fury,27-09-2019,2019,TV-MA,"In this anime visual album, a mysterious driver heads deep into a postapocalyptic hellscape toward a ferocious showdown with two monstrous opponents.",81171121
95,,Movie,Weeds on Fire,27-09-2018,2016,TV-14,"In 1980s Hong Kong, a school principal forms a baseball team with an eclectic crew of local students who soon fight their way to the top of the league.",81012295
104,,Movie,Much Loved,27-09-2017,2015,TV-MA,Four friends who make their living as prostitutes in Morocco deal with both the dangers and stigma that come with their profession.,80060037
75,,Movie,Joseph: King of Dreams,27-09-2011,2000,TV-PG,"With his gift of dream interpretation and his brilliantly colored coat, Joseph inspires jealousy in his brothers in this animated Bible story.",60003155
133,,Movie,Malaal,26-09-2019,2019,TV-14,"Class divides become thorns in the budding romance between the crony of a nativist Mumbai politician and the new, North Indian resident of his chawl.",81177238
108,,Movie,The Grandmaster,26-09-2019,2013,PG-13,"As the Japanese invasion looms, Chinese kung fu master Ip Man's world changes when rival master Gong Er and her father arrive in his village.",70270775
103,,Movie,The Hurricane Heist,26-09-2018,2018,PG-13,A deadly hurricane with mile-high waves provides the perfect cover for stealing $600 million from a U.S. Treasury outpost in Mississippi.,80215923
82,,Movie,Def Comedy Jam 25,26-09-2017,2017,TV-MA,"In this special live event, giants of stand-up come together to commemorate the 25th anniversary of Russell Simmons's groundbreaking ""Def Comedy Jam.""",80151483
94,,Movie,Restless Creature: Wendy Whelan,26-09-2017,2016,TV-MA,"After 30 years with the New York City Ballet, celebrated dancer Wendy Whelan redefines herself as an artist in a new stage of life.",80173625
100,,Movie,Print the Legend,26-09-2014,2014,TV-14,"This award-winning, original documentary chronicles the race for market leadership in 3D printing, the next wave of technological evolution.",80005444
38,,Movie,Birders,25-09-2019,2019,TV-G,Bird watchers on both sides of the U.S.-Mexico border share their enthusiasm for protecting and preserving some of the world's most beautiful species.,80244682
97,,Movie,Furie,25-09-2019,2019,TV-MA,"When traffickers kidnap her daughter from their village, vengeful Hai Phuong returns to Saigon – and her outlaw roots – to take down the abductors.",81075519
89,,Movie,Leap!,25-09-2019,2016,PG,"Félicie and Victor, two young friends in 1880s France, escape from an orphanage to pursue their dreams in Paris, the glittering City of Lights.",80166318
146,,Movie,Oh! Baby (Malayalam),25-09-2019,2019,TV-14,A surly septuagenarian gets another chance at her 20s after having her photo snapped at a studio that magically takes 50 years off her life.,81186758
146,,Movie,Oh! Baby (Tamil),25-09-2019,2019,TV-14,A surly septuagenarian gets another chance at her 20s after having her photo snapped at a studio that magically takes 50 years off her life.,81186757
130,,Movie,USS Indianapolis: Men of Courage,25-09-2019,2016,R,"After becoming stranded in the Philippine Sea during World War II, a tenacious Navy crew faces a dire lack of supplies and a string of shark attacks.",80108976
110,,Movie,A Wrinkle in Time,25-09-2018,2018,PG,"Years after their father disappears, Meg and her younger brother Charles Wallace cross galaxies on a quest to save him from the heart of darkness.",80208155
81,,Movie,Teach Us All,25-09-2017,2017,TV-14,"It's been decades since Brown v. Board of Education, yet American schools remain largely segregated. Some leaders are working to change that.",80198423
91,,Movie,White Island,25-09-2017,2016,TV-MA,"Returning to Ibiza after several years walking the straight and narrow in London, Connor falls back in with a criminal crowd. It's like he never left.",80162144
106,,Movie,Inside Man: Most Wanted,24-09-2019,2019,R,A hotshot NYPD negotiator butts heads with the FBI and meets his match in a meticulous criminal mastermind as she attempts to rob the Federal Reserve.,81053953
58,,Movie,Jeff Dunham: Beside Himself,24-09-2019,2019,TV-MA,"Jeff Dunham takes the stage in Dallas with his old pals Peanut, Walter, José Jalapeño, Bubba J and Achmed to poke fun at himself and American culture.",81074113
111,,Movie,China Salesman,24-09-2018,2017,TV-MA,A Chinese engineer travels to a war-torn African country to rebuild its telecommunications but instead finds massive corruption and explosive danger.,80992496
112,,Movie,Swearnet: The Movie,24-09-2017,2014,NR,"After losing a TV network deal, the Trailer Park Boys launch their own Internet series, but they soon confront personal and creative differences.",70304191
102,,Movie,The Bar,24-09-2017,2017,TV-MA,Strangers holed up in a Madrid bar after witnessing a murder begin to turn on each other as panic sets in and the body count rises.,80103311
152,,Movie,Manmadhudu 2,23-09-2019,2019,TV-MA,"Under pressure to marry, a perennial bachelor hires a much younger woman to act as his fiancée, but her bond with his family throws his plan for a loop.",81176200
87,,Movie,Under the Eiffel Tower,23-09-2019,2018,TV-MA,An American man in the midst of a mid-life crisis travels to the French countryside to find a new lease on life.,80208906
99,,Movie,Audrie & Daisy,23-09-2016,2016,TV-14,"In this wrenching documentary, two teens are sexually assaulted by boys they considered friends, humiliated online and harassed by their communities.",80097321
78,,Movie,Iliza Shlesinger: Confirmed Kills,23-09-2016,2016,TV-MA,"The stand-up sensation tackles TV's ""Shark Tank,"" what it means to be a woman and how to deal with the lawless party goblin that lives in us all.",80106966
121,,Movie,Do Paise Ki Dhoop Chaar Aane Ki Baarish,22-09-2019,2009,TV-14,"When a sex worker hires a gay songwriter to care for her disabled son, the ensuing bonds that form offer a complex portrayal of love and family.",81080769
91,,Movie,20 Feet From Stardom,22-09-2018,2013,PG-13,"Winner of the 2014 Academy Award for Best Documentary Feature, this film takes a look at the world of backup vocalists and the legends they support.",70267838
101,,Movie,In Darkness,22-09-2018,2018,TV-MA,"A blind pianist fears for her life after the suspicious death of her neighbor, the daughter of a businessman accused of war crimes.",80211380
101,,Movie,Gaga: Five Foot Two,22-09-2017,2017,TV-MA,"Follow pop provocateur Lady Gaga as she releases a new album, preps for her Super Bowl halftime show, and confronts physical and emotional struggles.",80196586
119,,Movie,The Bad Batch,22-09-2017,2016,R,"Banished to a wasteland of undesirables, a young woman struggles to find her feet among a drug-soaked desert society and an enclave of cannibals.",80099204
83,,Movie,SMOSH: The Movie,22-09-2015,2015,PG-13,"To keep his teen crush from spotting him in an embarrassing YouTube video, Anthony and his friend Ian must enter the virtual world and alter the clip.",80059432
182,,Movie,King of Boys,21-09-2019,2018,TV-MA,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",81172721
106,,Movie,Merry Men: The Real Yoruba Demons,21-09-2019,2018,TV-MA,"Four of the richest bachelors in Abuja, Nigeria enjoy a life of fast cars, palatial homes and female attention while concealing their true activities.",81172727
102,,Movie,Sarah's Key,21-09-2019,2010,PG-13,"Paris, 1942: To protect her brother from the police arresting Jewish families, a young girl hides him away, promising to come back for him.",70153543
98,,Movie,The Wedding Party 2: Destination Dubai,21-09-2019,2017,TV-14,"In this sequel to the 2016 hit ""The Wedding Party,"" a couple's date night ends in an accidental proposal, sparking a series of chaotic family events.",81172728
124,,Movie,Quincy,21-09-2018,2018,TV-MA,"This documentary profiles music and culture icon Quincy Jones, offering unprecedented access to his private life and stories from his unparalleled career.",80102952
63,,Movie,Rafinha Bastos: Ultimatum,21-09-2018,2018,TV-MA,"An off-color joke nearly cost him everything. Brazilian comic Rafinha Bastos talks about that and much more, from his divorce to finding love again.",80214464
83,,Movie,Between Two Ferns: The Movie,20-09-2019,2019,TV-MA,"Armed with awkward questions and zero self-awareness, Zach Galifianakis hits the road to find famous interview subjects for his no-budget talk show.",80243600
82,,Movie,Daddy Issues,20-09-2019,2019,TV-MA,"Maya finally hooks up with her online dream girl, only to discover she’s deeply involved with an older sugar daddy – a man Maya knows all too well.",81122669
111,,Movie,Travel Mates 2,20-09-2019,2018,TV-14,"When struggling singer Onur decides to return to his old job, incurable klutz ?eref organizes a surprise tour full of pitfalls and mishaps.",81132439
24,,Movie,True: Tricky Treat Day,20-09-2019,2019,TV-Y,It's up to True and her friends to save the day when a hungry Yeti sneaks a forbidden treat and fills the kingdom with Howling Greenies.,81035117
102,,Movie,Mad World,20-09-2018,2016,TV-MA,"A stockbroker struggling with bipolar disorder goes to live with his estranged father in a cramped flat, where old resentments bubble to the surface.",80150502
103,,Movie,The Bund,20-09-2018,1983,TV-14,"After losing everything, a young man rebuilds his life and finds love in 1920s Shanghai – all while rising to power in an organized crime syndicate.",80997866
87,,Movie,The First Line,20-09-2016,2014,TV-14,Two determined Athenian attorneys spearhead a lawsuit against the British Museum for the return of the Parthenon Marbles to Greece.,80119815
100,,Movie,Maynard,02-09-2018,2017,TV-PG,"Friends, family and political titans recall the impact of Atlanta's Maynard Jackson, the first African-American mayor of a major Southern city.",80993149
116,,Movie,Bitcoin Heist,02-09-2017,2016,TV-14,"A unconventional, efficient Interpol special agent goes rogue and assembles a team of thieves to catch a shadowy hacker called ""The Ghost.""",80203776
139,,Movie,I Am Not Madame Bovary,02-09-2017,2016,TV-14,"To qualify for an apartment reserved for singles, a married couple stages a divorce. But when her husband unexpectedly remarries, Li seeks justice.",80143797
101,,Movie,Vincent N Roxxy,02-09-2017,2016,R,"In rural Louisiana, a terse loner forges a redemptive bond with a woman he saved from a killer, but a violent past soon catches up with both of them.",80161931
130,,Movie,Miss Julie,02-09-2015,2014,PG-13,"On a summer night in 1890 Ireland, the unsettled daughter of aristocrats coaxes her father's valet to seduce her, though he's engaged to their cook.",80017275
171,,Movie,Kabir Singh,19-09-2019,2019,TV-MA,"An exalted but short-fused surgeon plunges into a spiral of drugs, alcohol and rage after his intense relationship with his girlfriend turbulently ends.",81107545
84,,Movie,Océans,19-09-2019,2009,G,This documentary examines the vital role water plays in human existence and the cause-and-effect interplay between oceans and the environment.,70118953
112,,Movie,The Endless,19-09-2018,2017,TV-MA,"As kids, they escaped a UFO death cult. Now, two adult brothers seek answers after an old videotape surfaces and brings them back to where they began.",80190449
62,,Movie,Jerry Before Seinfeld,19-09-2017,2017,TV-14,"Jerry Seinfeld returns to the club that gave him his start in the 1970s, mixing iconic jokes with stories from his childhood and early days in comedy.",80163156
65,,Movie,"Karol Modzelewski, ?ukasz „Lotek” Lodkowski No Offense",19-09-2016,2016,TV-MA,"Charismatic comedy pals Karol Modzelewski and ?ukasz ""Lotek"" Lodkowski bring their mischievous brand of humor to Warsaw's Klub Hybrydy.",80131281
65,,Movie,"Katarzyna Piasecka, Rafa? Pacze? Seriously Funny",19-09-2016,2016,TV-MA,Polish comedians Rafa? Pacze? and Katarzyna Piasecka hit the stage at Warsaw's Klub Hybrydy for a night of funny anecdotes and sly jokes.,80131374
69,,Movie,"Mariusz Ka?amaga, Karol Kopiec, Wiolka Walaszczyk Hilarious Trio",19-09-2016,2016,TV-MA,"Comedians Mariusz Ka?amaga, Karol Kopiec and Wiolka Walaszczyk deliver an eclectic and energetic stand-up show at Klub Hybrydy in Warsaw.",80131436
64,,Movie,"Rafa? Bana?, Micha? Leja Laugh out Loud",19-09-2016,2016,TV-MA,Young Polish comedians Rafa? Bana? and Micha? Leja present a high-energy stand-up show at Warsaw's Klub Hybrydy.,80131376
63,,Movie,The Best of Rafa? Rutkowski Olka Szcz??niak,19-09-2016,2016,TV-MA,"""Recipe for Life"" star Rafa? Rutkowski and Comedy Lab's Olka Szcz??niak serve up humorous impressions and wry wit at Warsaw's Klub Hybrydy.",80131435
63,,Movie,"Tomasz Jachimek, Jacek Stramik Laugh at Live",19-09-2016,2016,TV-MA,"Writer, actor and satirist Tomasz Jachimek teams up with comedian Jacek Stramik for a night of subversive stand-up at Klub Hybrydy in Warsaw.",80131375
112,,Movie,Come and Find Me,18-09-2019,2016,R,"When his photographer girlfriend vanishes, an L.A. graphic designer starts his own investigation and uncovers a web of deceit, crime and corruption.",80149143
103,,Movie,Class Rank,18-09-2018,2018,TV-14,"When her class rank threatens her college plans, an ambitious teen convinces a nerdy peer to run for the school board to abolish the ranking system.",80987075
64,,Movie,Barbie Dolphin Magic,18-09-2017,2017,TV-G,"While visiting Ken and exploring a coral reef, Barbie and her sisters make an amazing discovery and meet a mysterious new friend.",80192815
82,,Movie,Keith Richards: Under the Influence,18-09-2015,2015,TV-PG,"In a documentary with unparalleled access, discover the people and sounds that inspired rock 'n' roll legend Keith Richards from childhood to today.",80066798
80,,Movie,A Haunting at Silver Falls: The Return,17-09-2019,2019,TV-14,"When the ghost of her serial killer aunt seemingly resurfaces, Jordan must return to Silver Falls in hopes of finally putting an end to the torment.",81147293
88,,Movie,Avengement,17-09-2019,2019,TV-MA,"Betrayed by his loan shark brother, a hardened convict escapes from prison while on furlough to exact revenge against the people who made him a killer.",80991316
124,,Movie,Clive Davis: The Soundtrack of Our Lives,17-09-2019,2017,TV-14,This music-driven documentary charts Clive Davis' 50-year career as one of the world's most influential record moguls.,80190588
104,,Movie,Five Elements Ninjas,17-09-2019,1982,R,"When five ninjas whose fighting styles are based on natural elements unleash their fury on a rival school, a lone survivor vows deadly revenge.",70124316
76,,Movie,Sebastian Maniscalco: What's Wrong with People?,17-09-2019,2012,TV-14,"With his uproarious tirade on modern behavior and decorum, the popular comic tackles the question we've all asked in this hilarious standup special.",70229037
92,,Movie,The Witch,17-09-2018,2015,R,"Believing that a witch has cursed their family, pilgrims homesteading on the edge of a primeval New England forest become increasingly paranoid.",80037280
91,,Movie,I Am Wrath,16-09-2019,2016,R,"Hell-bent on avenging his wife's murder, Stanley Hill summons an old partner's help in exposing a cover-up by crooked cops and slimy politicians.",80058248
93,,Movie,"As Above, So Below",16-09-2018,2014,R,A beautiful tomb raider and her crew hunt for treasure in the catacombs of Paris and find themselves in a hellish underworld.,70307661
112,,Movie,Scott Pilgrim vs. the World,16-09-2018,2010,PG-13,"Dreamy delivery girl Ramona captures Scott Pilgrim's heart, but he must vanquish all seven of her evil exes in martial arts battles to win her love.",70117312
89,,Movie,ARQ,16-09-2016,2016,TV-MA,"Trapped in a lab and stuck in a time loop, a disoriented couple fends off masked raiders while harboring a new energy source that could save humanity.",80092885
60,,Movie,Cedric the Entertainer: Live from the Ville,16-09-2016,2016,TV-MA,"Donning his signature suit and fedora, the dapper comic offers a unique spin on getting old, the presidential election and ""Honky Tonk Badonkadonk.""",80108371
84,,Movie,Louis C.K.: Hilarious,16-09-2016,2010,,"Emmy-winning comedy writer Louis C.K. brings his caustic wit to Milwaukee, offering up his unique and uncensored take on sex, parenting and more.",70129452
93,,Movie,Raiders!: The Story of the Greatest Fan Film Ever Made,16-09-2016,2015,NR,"Three childhood friends attempt to finish the pet project they've worked on for over 30 years: re-creating ""Raiders of the Lost Ark"" shot for shot.",80045805
